2024-05-05 16:20:41,893,Step: 190, Action: 3, Reward: 1.200000000000001, Observation: [25 21 38  9  3], Done: False
2024-05-05 16:20:41,905,Step: 195, Action: 4, Reward: -2.5, Observation: [18 24 39 10  4], Done: False
2024-05-05 16:20:41,916,Step: 200, Action: 0, Reward: -3.299999999999997, Observation: [19 26 38 14  0], Done: False
2024-05-05 16:20:41,927,Step: 205, Action: 3, Reward: 0.5000000000000018, Observation: [19 28 37 15  3], Done: False
2024-05-05 16:20:41,940,Step: 210, Action: 3, Reward: 2.700000000000002, Observation: [14 31 39 15  3], Done: False
2024-05-05 16:20:41,952,Step: 215, Action: 2, Reward: -1.5, Observation: [10 33 41 13  2], Done: False
2024-05-05 16:20:42,026,Step: 220, Action: 2, Reward: -3.200000000000001, Observation: [11 36 43 10  2], Done: True
2024-05-05 16:20:42,550,Episode Start - Observation: [0 0 0 0 0]
2024-05-05 16:20:42,568,Step: 5, Action: 4, Reward: 10.5, Observation: [2 0 1 0 4], Done: False
2024-05-05 16:20:42,574,Step: 10, Action: 0, Reward: 10.7, Observation: [3 1 1 0 0], Done: False
2024-05-05 16:20:42,581,Step: 15, Action: 0, Reward: 10.8, Observation: [3 3 2 1 0], Done: False
2024-05-05 16:20:42,589,Step: 20, Action: 2, Reward: 10.9, Observation: [4 6 2 1 2], Done: False
2024-05-05 16:20:42,596,Step: 25, Action: 0, Reward: 10.3, Observation: [5 6 1 2 0], Done: False
2024-05-05 16:20:42,605,Step: 30, Action: 1, Reward: 11.4, Observation: [6 7 2 3 1], Done: False
2024-05-05 16:20:42,613,Step: 35, Action: 1, Reward: 11.3, Observation: [8 5 3 4 1], Done: False
2024-05-05 16:20:42,621,Step: 40, Action: 0, Reward: 10.6, Observation: [8 3 6 6 0], Done: False
2024-05-05 16:20:42,629,Step: 45, Action: 4, Reward: 10.7, Observation: [9 5 6 6 4], Done: False
2024-05-05 16:20:42,638,Step: 50, Action: 0, Reward: 9.0, Observation: [10  6  7  8  0], Done: False
2024-05-05 16:20:42,648,Step: 55, Action: 2, Reward: 9.700000000000001, Observation: [10 10  6  8  2], Done: False
2024-05-05 16:20:42,657,Step: 60, Action: 0, Reward: 9.1, Observation: [10 11  6  8  0], Done: False
2024-05-05 16:20:42,665,Step: 65, Action: 0, Reward: 7.8, Observation: [12 12  5  8  0], Done: False
2024-05-05 16:20:42,675,Step: 70, Action: 0, Reward: 6.9, Observation: [14 12  4 10  0], Done: False
2024-05-05 16:20:42,684,Step: 75, Action: 3, Reward: 6.300000000000001, Observation: [12 13  4 10  3], Done: False
2024-05-05 16:20:42,694,Step: 80, Action: 2, Reward: 8.3, Observation: [10 14  5  9  2], Done: False
2024-05-05 16:20:42,703,Step: 85, Action: 3, Reward: 8.5, Observation: [10 15  6  9  3], Done: False
2024-05-05 16:20:42,713,Step: 90, Action: 3, Reward: 8.200000000000001, Observation: [ 8 16  8 11  3], Done: False
2024-05-05 16:20:42,723,Step: 95, Action: 3, Reward: 7.400000000000001, Observation: [ 6 18 11 12  3], Done: False
2024-05-05 16:20:42,732,Step: 100, Action: 4, Reward: 6.700000000000001, Observation: [ 7 20 12 13  4], Done: False
2024-05-05 16:20:42,742,Step: 105, Action: 3, Reward: 5.8999999999999995, Observation: [ 6 21 15 15  3], Done: False
2024-05-05 16:20:42,752,Step: 110, Action: 1, Reward: 5.000000000000001, Observation: [ 4 19 18 18  1], Done: False
2024-05-05 16:20:42,762,Step: 115, Action: 3, Reward: 7.6000000000000005, Observation: [ 3 17 19 19  3], Done: False
2024-05-05 16:20:42,772,Step: 120, Action: 0, Reward: 5.3, Observation: [ 2 18 20 20  0], Done: False
2024-05-05 16:20:42,782,Step: 125, Action: 0, Reward: 6.500000000000001, Observation: [ 4 21 16 21  0], Done: False
2024-05-05 16:20:42,792,Step: 130, Action: 4, Reward: 4.800000000000001, Observation: [ 7 24 10 21  4], Done: False
2024-05-05 16:20:42,802,Step: 135, Action: 2, Reward: 3.700000000000001, Observation: [10 25 10 18  2], Done: False
2024-05-05 16:20:42,813,Step: 140, Action: 4, Reward: 6.3, Observation: [10 28 11 16  4], Done: False
2024-05-05 16:20:42,823,Step: 145, Action: 3, Reward: 3.700000000000001, Observation: [ 9 30 12 17  3], Done: False
2024-05-05 16:20:42,833,Step: 150, Action: 2, Reward: 2.000000000000001, Observation: [ 8 33 12 16  2], Done: False
2024-05-05 16:20:42,844,Step: 155, Action: 2, Reward: 3.8, Observation: [ 9 35 14 13  2], Done: False
2024-05-05 16:20:42,854,Step: 160, Action: 4, Reward: 1.4000000000000021, Observation: [11 39 17  8  4], Done: False
2024-05-05 16:20:42,865,Step: 165, Action: 1, Reward: 0.20000000000000107, Observation: [10 39 19 10  1], Done: False
2024-05-05 16:20:42,885,Step: 170, Action: 0, Reward: 4.7, Observation: [12 37 20 11  0], Done: False
2024-05-05 16:20:42,896,Step: 175, Action: 4, Reward: 8.6, Observation: [15 37 17 13  4], Done: False
2024-05-05 16:20:42,906,Step: 180, Action: 1, Reward: 6.800000000000001, Observation: [17 35 20 14  1], Done: False
2024-05-05 16:20:42,917,Step: 185, Action: 1, Reward: 5.700000000000001, Observation: [19 31 20 13  1], Done: False
2024-05-05 16:20:42,928,Step: 190, Action: 0, Reward: 5.000000000000002, Observation: [21 27 19 12  0], Done: False
2024-05-05 16:20:42,940,Step: 195, Action: 4, Reward: 5.300000000000002, Observation: [25 28 14 14  4], Done: False
2024-05-05 16:20:42,950,Step: 200, Action: 1, Reward: 1.1999999999999993, Observation: [27 27 15 17  1], Done: False
2024-05-05 16:20:42,961,Step: 205, Action: 2, Reward: 4.1000000000000005, Observation: [29 26 18 16  2], Done: False
2024-05-05 16:20:42,972,Step: 210, Action: 4, Reward: 2.9000000000000012, Observation: [31 27 21 14  4], Done: False
2024-05-05 16:20:42,984,Step: 215, Action: 4, Reward: -3.6000000000000014, Observation: [32 30 22 15  4], Done: False
2024-05-05 16:20:43,053,Step: 220, Action: 2, Reward: -6.5, Observation: [34 33 23 13  2], Done: True
2024-05-05 16:20:43,577,Episode Start - Observation: [0 0 0 0 0]
2024-05-05 16:20:43,595,Step: 5, Action: 1, Reward: 10.5, Observation: [2 0 1 0 1], Done: False
